[count_stat/run.sh] running 246: count_stat/run.sh cas 4 3 btormc btor2
[concubine>main] encoding took 0.001793 seconds
[concubine>main] generated 584 commands
[btormc] parsing input file...
[btormc] finished parsing
[btor>mc] calling BMC on 1 properties from bound 359 up-to maximum bound k = 359
[btor>mc] trace generation enabled
[btor>mc] new forward manager
[btor>mc] initialized forward frame at bound k = 0
[btor>mc] initialized forward frame at bound k = 1
[btor>mc] initialized forward frame at bound k = 2
[btor>mc] initialized forward frame at bound k = 3
[btor>mc] initialized forward frame at bound k = 4
[btor>mc] initialized forward frame at bound k = 5
[btor>mc] initialized forward frame at bound k = 6
[btor>mc] initialized forward frame at bound k = 7
[btor>mc] initialized forward frame at bound k = 8
[btor>mc] initialized forward frame at bound k = 9
[btor>mc] initialized forward frame at bound k = 10
[btor>mc] initialized forward frame at bound k = 11
[btor>mc] initialized forward frame at bound k = 12
[btor>mc] initialized forward frame at bound k = 13
[btor>mc] initialized forward frame at bound k = 14
[btor>mc] initialized forward frame at bound k = 15
[btor>mc] initialized forward frame at bound k = 16
[btor>mc] initialized forward frame at bound k = 17
[btor>mc] initialized forward frame at bound k = 18
[btor>mc] initialized forward frame at bound k = 19
[btor>mc] initialized forward frame at bound k = 20
[btor>mc] initialized forward frame at bound k = 21
[btor>mc] initialized forward frame at bound k = 22
[btor>mc] initialized forward frame at bound k = 23
[btor>mc] initialized forward frame at bound k = 24
[btor>mc] initialized forward frame at bound k = 25
[btor>mc] initialized forward frame at bound k = 26
[btor>mc] initialized forward frame at bound k = 27
[btor>mc] initialized forward frame at bound k = 28
[btor>mc] initialized forward frame at bound k = 29
[btor>mc] initialized forward frame at bound k = 30
[btor>mc] initialized forward frame at bound k = 31
[btor>mc] initialized forward frame at bound k = 32
[btor>mc] initialized forward frame at bound k = 33
[btor>mc] initialized forward frame at bound k = 34
[btor>mc] initialized forward frame at bound k = 35
[btor>mc] initialized forward frame at bound k = 36
[btor>mc] initialized forward frame at bound k = 37
[btor>mc] initialized forward frame at bound k = 38
[btor>mc] initialized forward frame at bound k = 39
[btor>mc] initialized forward frame at bound k = 40
[btor>mc] initialized forward frame at bound k = 41
[btor>mc] initialized forward frame at bound k = 42
[btor>mc] initialized forward frame at bound k = 43
[btor>mc] initialized forward frame at bound k = 44
[btor>mc] initialized forward frame at bound k = 45
[btor>mc] initialized forward frame at bound k = 46
[btor>mc] initialized forward frame at bound k = 47
[btor>mc] initialized forward frame at bound k = 48
[btor>mc] initialized forward frame at bound k = 49
[btor>mc] initialized forward frame at bound k = 50
[btor>mc] initialized forward frame at bound k = 51
[btor>mc] initialized forward frame at bound k = 52
[btor>mc] initialized forward frame at bound k = 53
[btor>mc] initialized forward frame at bound k = 54
[btor>mc] initialized forward frame at bound k = 55
[btor>mc] initialized forward frame at bound k = 56
[btor>mc] initialized forward frame at bound k = 57
[btor>mc] initialized forward frame at bound k = 58
[btor>mc] initialized forward frame at bound k = 59
[btor>mc] initialized forward frame at bound k = 60
[btor>mc] initialized forward frame at bound k = 61
[btor>mc] initialized forward frame at bound k = 62
[btor>mc] initialized forward frame at bound k = 63
[btor>mc] initialized forward frame at bound k = 64
[btor>mc] initialized forward frame at bound k = 65
[btor>mc] initialized forward frame at bound k = 66
[btor>mc] initialized forward frame at bound k = 67
[btor>mc] initialized forward frame at bound k = 68
[btor>mc] initialized forward frame at bound k = 69
[btor>mc] initialized forward frame at bound k = 70
[btor>mc] initialized forward frame at bound k = 71
[btor>mc] initialized forward frame at bound k = 72
[btor>mc] initialized forward frame at bound k = 73
[btor>mc] initialized forward frame at bound k = 74
[btor>mc] initialized forward frame at bound k = 75
[btor>mc] initialized forward frame at bound k = 76
